City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,fisterra,42.9049,-9.2629,18.34,90,100,5.11,ES,1682356259
322,rongelap,11.1635,166.8941,26.99,83,100,9.11,MH,1682356849
323,estacion santa engracia,24.0159,-99.2015,19.06,67,83,4.25,MX,1682356849
324,san pedro pochutla,15.7333,-96.4667,32.06,47,82,3.45,MX,1682356849
325,peniche,39.3558,-9.3811,22.38,72,65,5.2,PT,1682356715
326,khosta,43.5147,39.8689,11.02,93,100,4.02,RU,1682356850
327,kousseri,12.0769,15.0306,32.98,38,100,5.14,CM,1682356850
328,uyovu,-3.2833,31.5258,17.46,96,94,0.57,TZ,1682356850
329,abu jibeha,11.4562,31.2285,28.99,45,82,5.43,SD,1682356850
330,labasa,-16.4167,179.3833,23.08,91,89,1.74,FJ,1682356851
331,damghan,36.1683,54.348,23.41,26,69,1.83,IR,1682356851
332,rio grande,-32.035,-52.0986,29.06,66,2,4.83,BR,1682356694
333,bonanza,14.0289,-84.591,33.31,36,31,2.06,NI,1682356851
334,nazret,8.55,39.2667,23.42,50,33,5.29,ET,1682356851
335,ouadda,8.0777,22.4007,23.71,75,66,2.93,CF,1682356851
336,namibe,-15.1961,12.1522,24.53,71,54,6.51,AO,1682356852
337,manokwari,-0.8667,134.0833,26.0,80,44,1.27,ID,1682356852
338,kenora,49.8167,-94.4337,3.54,41,75,1.54,CA,1682356852
339,agat village,13.3886,144.6585,27.52,88,75,2.57,GU,1682356674
340,muroto-misakicho,33.2833,134.15,13.38,50,97,6.07,JP,1682356852
341,midvagur,62.0511,-7.1939,2.46,60,100,7.2,FO,1682356852
342,pontianak,-0.0333,109.3333,24.99,88,20,1.54,ID,1682356852
343,hays,30.0502,-98.0336,15.95,72,100,0.89,US,1682356853
344,hami,42.8,93.45,14.66,16,5,0.28,CN,1682356853
345,senador guiomard,-10.1522,-67.7392,27.86,83,82,2.3,BR,1682356853
346,key largo,25.0865,-80.4473,27.21,67,62,4.47,US,1682356851
347,isla del bosque,22.7333,-105.85,27.17,40,84,2.64,MX,1682356853
348,ca mau,9.1769,105.15,28.19,77,14,1.38,VN,1682356854
349,college,64.8569,-147.8028,-10.82,50,75,8.23,US,1682356854
350,seminole,28.7086,-81.2081,28.95,67,0,5.14,US,1682356854
351,bainbridge,47.6262,-122.5212,10.64,85,100,2.57,US,1682356645
352,chagoda,59.164,35.3285,13.48,57,27,2.67,RU,1682356854
353,nuuk,64.1835,-51.7216,4.34,75,40,6.17,GL,1682356709
354,kruisfontein,-34.0033,24.7314,19.38,92,100,3.92,ZA,1682356402
355,trincomalee,8.5711,81.2335,28.85,80,56,5.32,LK,1682356855
356,tuy hoa,13.0833,109.3,25.15,93,60,0.19,VN,1682356855
